participantId,trialId,value,response,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
002,1,40,LEFT,1.614754,22.24335,23.8581,2026-05-18 16:23:26.932,2026-05-18 16:23:28.547,2026-05-18 16:23:20.014,2026-05-18 16:23:28.580
002,2,-40,RIGHT,0.841858,25.53953,26.38139,2026-05-18 16:23:30.228,2026-05-18 16:23:31.071,2026-05-18 16:23:29.127,2026-05-18 16:23:31.103
002,3,20,LEFT,0.96026,29.30308,30.26334,2026-05-18 16:23:33.992,2026-05-18 16:23:34.952,2026-05-18 16:23:32.226,2026-05-18 16:23:34.973
002,4,-20,RIGHT,1.475014,31.68759,33.1626,2026-05-18 16:23:36.377,2026-05-18 16:23:37.851,2026-05-18 16:23:35.493,2026-05-18 16:23:37.879
002,5,0,LEFT,1.962193,34.47604,36.43823,2026-05-18 16:23:39.165,2026-05-18 16:23:41.127,2026-05-18 16:23:38.409,2026-05-18 16:23:41.147
