participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
004,1,40,butterfly,CORRECT,3.455816,24.95655,28.41237,2026-05-19 14:53:32.579,2026-05-19 14:53:36.036,2026-05-19 14:53:28.787,2026-05-19 14:53:36.060
004,2,-40,duck,INCORRECT,2.780598,31.52434,34.30494,2026-05-19 14:53:39.147,2026-05-19 14:53:41.928,2026-05-19 14:53:36.735,2026-05-19 14:53:41.944
004,3,20,heart,INCORRECT,3.214447,35.85857,39.07302,2026-05-19 14:53:43.480,2026-05-19 14:53:46.696,2026-05-19 14:53:42.592,2026-05-19 14:53:46.728
004,4,-20,rabbit,INCORRECT,3.018303,40.92343,43.94173,2026-05-19 14:53:48.546,2026-05-19 14:53:51.564,2026-05-19 14:53:47.326,2026-05-19 14:53:51.602
004,5,0,tree,INCORRECT,3.269188,46.18979,49.45897,2026-05-19 14:53:53.812,2026-05-19 14:53:57.082,2026-05-19 14:53:52.188,2026-05-19 14:53:57.100
