participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
2,1,40,butterfly,CORRECT,2.5741,15.02923,17.60333,2026-06-02 11:18:46.329,2026-06-02 11:18:48.913,2026-06-02 11:18:43.290,2026-06-02 11:18:48.950
2,2,-40,butterfly,INCORRECT,2.909681,18.94891,21.85859,2026-06-02 11:18:50.249,2026-06-02 11:18:53.168,2026-06-02 11:18:49.363,2026-06-02 11:18:53.181
2,3,20,butterfly,INCORRECT,2.831436,23.28277,26.11421,2026-06-02 11:18:54.582,2026-06-02 11:18:57.422,2026-06-02 11:18:53.568,2026-06-02 11:18:57.428
2,4,-20,butterfly,INCORRECT,2.754118,27.87104,30.62516,2026-06-02 11:18:59.169,2026-06-02 11:19:01.933,2026-06-02 11:18:57.845,2026-06-02 11:19:01.945
2,5,0,butterfly,INCORRECT,2.829029,32.27487,35.1039,2026-06-02 11:19:03.572,2026-06-02 11:19:06.411,2026-06-02 11:19:02.354,2026-06-02 11:19:06.418
