participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
003,1,40,butterfly,CORRECT,3.797215,19.21103,23.00824,2026-05-19 14:34:40.102,2026-05-19 14:34:43.901,2026-05-19 14:34:38.203,2026-05-19 14:34:43.975
003,2,-40,car,INCORRECT,3.095539,25.55435,28.64989,2026-05-19 14:34:46.445,2026-05-19 14:34:49.542,2026-05-19 14:34:45.624,2026-05-19 14:34:49.560
003,3,20,moon,INCORRECT,3.096878,30.79308,33.88996,2026-05-19 14:34:51.684,2026-05-19 14:34:54.781,2026-05-19 14:34:50.257,2026-05-19 14:34:54.805
003,4,-20,moon,INCORRECT,2.963375,36.98169,39.94506,2026-05-19 14:34:57.873,2026-05-19 14:35:00.837,2026-05-19 14:34:55.621,2026-05-19 14:35:00.886
003,5,0,car,CORRECT,3.2313,42.46476,45.69606,2026-05-19 14:35:03.355,2026-05-19 14:35:06.588,2026-05-19 14:35:01.995,2026-05-19 14:35:06.650
