participantId,trialId,targetSymbol,response,accuracy,correct,questLogIntensity,stimOffsetPix,rtSeconds,matlabSendTime,matlabReceiveTime
2,1,heart,butterfly,INCORRECT,0,-0.868476141895316,1.08296356384887,11.16508,2026-06-02 15:38:05.528,2026-06-02 15:38:19.528
2,2,heart,heart,CORRECT,1,0.182191913403729,12.1697568281573,2.735909,2026-06-02 15:38:20.175,2026-06-02 15:38:24.595
2,3,rabbit,rocket,INCORRECT,0,-0.274315164307444,4.2537780183964,3.6362,2026-06-02 15:38:25.170,2026-06-02 15:38:30.409
2,4,rabbit,butterfly,INCORRECT,0,0.0311686971158198,8.59525338598478,4.224449,2026-06-02 15:38:31.000,2026-06-02 15:38:36.650
2,5,duck,duck,CORRECT,1,0.252142191989394,14.2965806640228,2.170303,2026-06-02 15:38:37.201,2026-06-02 15:38:40.627
