participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
003,1,40,butterfly,CORRECT,3.444405,30.07453,33.51894,2026-05-19 14:11:23.362,2026-05-19 14:11:26.810,2026-05-19 14:11:20.617,2026-05-19 14:11:28.227
003,2,-40,moon,INCORRECT,3.33876,38.50333,41.84209,2026-05-19 14:11:31.791,2026-05-19 14:11:35.132,2026-05-19 14:11:29.676,2026-05-19 14:11:35.198
003,3,20,car,INCORRECT,3.157116,44.3659,47.52301,2026-05-19 14:11:37.655,2026-05-19 14:11:40.813,2026-05-19 14:11:36.285,2026-05-19 14:11:40.826
003,4,-20,tree,INCORRECT,3.417526,49.8805,53.29803,2026-05-19 14:11:43.169,2026-05-19 14:11:46.588,2026-05-19 14:11:42.037,2026-05-19 14:11:46.667
003,5,0,rabbit,INCORRECT,3.021431,56.04017,59.0616,2026-05-19 14:11:49.328,2026-05-19 14:11:52.351,2026-05-19 14:11:47.926,2026-05-19 14:11:52.377
