participantId,trialId,targetSymbol,response,accuracy,correct,questLogIntensity,stimOffsetPix,rtSeconds,matlabSendTime,matlabReceiveTime
p1,1,rocket,TIMEOUT,TIMEOUT,0,-0.868476141895316,1.08296356384887,NaN,2026-06-30 12:45:18.801,2026-06-30 12:45:48.808
p1,2,car,TIMEOUT,TIMEOUT,0,0.182191913403729,12.1697568281573,NaN,2026-06-30 12:45:49.421,2026-06-30 12:46:19.433
