participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
002,1,40,Pacman,INCORRECT,3.229248,16.19217,19.42142,2026-05-18 18:02:52.745,2026-05-18 18:02:55.975,2026-05-18 18:02:48.518,2026-05-18 18:02:55.979
002,2,-40,Butterfly,INCORRECT,2.932068,20.52311,23.45518,2026-05-18 18:02:57.076,2026-05-18 18:03:00.009,2026-05-18 18:02:56.492,2026-05-18 18:03:00.022
002,3,20,Butterfly,INCORRECT,2.835567,24.82516,27.66073,2026-05-18 18:03:01.378,2026-05-18 18:03:04.215,2026-05-18 18:03:00.531,2026-05-18 18:03:04.232
002,4,-20,Pacman,INCORRECT,2.918882,28.85728,31.77616,2026-05-18 18:03:05.410,2026-05-18 18:03:08.329,2026-05-18 18:03:04.742,2026-05-18 18:03:08.334
002,5,0,Pacman,INCORRECT,3.307941,33.0326,36.34054,2026-05-18 18:03:09.586,2026-05-18 18:03:12.893,2026-05-18 18:03:08.842,2026-05-18 18:03:12.900
