participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
002,1,40,Butterfly,CORRECT,3.717279,20.6217,24.33898,2026-05-19 11:24:11.089,2026-05-19 11:24:14.807,2026-05-19 11:24:07.300,2026-05-19 11:24:14.903
002,2,-40,Pacman,INCORRECT,6.020599,27.07889,33.09949,2026-05-19 11:24:17.545,2026-05-19 11:24:23.566,2026-05-19 11:24:15.670,2026-05-19 11:24:23.581
002,3,20,Butterfly,INCORRECT,3.937935,34.40313,38.34106,2026-05-19 11:24:24.870,2026-05-19 11:24:28.807,2026-05-19 11:24:24.146,2026-05-19 11:24:28.817
002,4,-20,Pacman,INCORRECT,3.312965,39.79093,43.1039,2026-05-19 11:24:30.257,2026-05-19 11:24:33.571,2026-05-19 11:24:29.369,2026-05-19 11:24:33.586
002,5,0,Pacman,INCORRECT,4.496964,44.70001,49.19698,2026-05-19 11:24:35.167,2026-05-19 11:24:39.664,2026-05-19 11:24:34.115,2026-05-19 11:24:39.693
