participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
002,1,40,butterfly,CORRECT,3.049262,13.56925,16.61851,2026-05-26 12:46:11.028,2026-05-26 12:46:14.077,2026-05-26 12:46:08.661,2026-05-26 12:46:14.119
002,2,-40,heart,CORRECT,2.866806,17.99864,20.86544,2026-05-26 12:46:15.456,2026-05-26 12:46:18.323,2026-05-26 12:46:14.709,2026-05-26 12:46:18.333
002,3,20,house,CORRECT,3.169842,22.01498,25.18482,2026-05-26 12:46:19.472,2026-05-26 12:46:22.641,2026-05-26 12:46:18.782,2026-05-26 12:46:22.678
002,4,-20,duck,CORRECT,3.298428,26.4308,29.72923,2026-05-26 12:46:23.887,2026-05-26 12:46:27.185,2026-05-26 12:46:23.105,2026-05-26 12:46:27.224
002,5,0,car,CORRECT,4.017588,30.95933,34.97692,2026-05-26 12:46:28.414,2026-05-26 12:46:32.432,2026-05-26 12:46:27.664,2026-05-26 12:46:32.442
