trialId,value,response,rtSeconds,unityStartTime,unityResponseTime,matlabSendTime,matlabReceiveTime
1,40,LEFT,3.985179,8.121782,12.10696,18/05/2026 13:52,18/05/2026 13:52
2,-40,RIGHT,1.457441,12.71619,14.17363,18/05/2026 13:52,18/05/2026 13:52
3,20,LEFT,0.993318,14.7099,15.70321,18/05/2026 13:52,18/05/2026 13:52
4,-20,RIGHT,1.070499,16.25415,17.32465,18/05/2026 13:52,18/05/2026 13:52
5,0,LEFT,1.171162,17.87148,19.04264,18/05/2026 13:52,18/05/2026 13:52
