participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
2,1,40,butterfly,CORRECT,2.076513,27.49424,29.57075,2026-06-02 14:09:26.865,2026-06-02 14:09:28.949,2026-06-02 14:09:21.830,2026-06-02 14:09:28.956
2,2,-40,butterfly,INCORRECT,2.332514,30.6368,32.96931,2026-06-02 14:09:30.007,2026-06-02 14:09:32.351,2026-06-02 14:09:29.310,2026-06-02 14:09:32.354
2,3,20,butterfly,INCORRECT,2.329742,33.92966,36.25941,2026-06-02 14:09:33.300,2026-06-02 14:09:35.638,2026-06-02 14:09:32.737,2026-06-02 14:09:35.655
2,4,-20,butterfly,INCORRECT,2.188885,37.54769,39.73657,2026-06-02 14:09:36.918,2026-06-02 14:09:39.117,2026-06-02 14:09:36.051,2026-06-02 14:09:39.148
2,5,0,butterfly,INCORRECT,2.699696,40.70337,43.40307,2026-06-02 14:09:40.073,2026-06-02 14:09:42.783,2026-06-02 14:09:39.498,2026-06-02 14:09:42.806
