participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
022,1,40,TIMEOUT,,NaN,NaN,NaN,,,2026-05-19 12:45:29.225,2026-05-19 12:45:39.317
022,2,-40,TIMEOUT,,NaN,NaN,NaN,,,2026-05-19 12:45:39.934,2026-05-19 12:45:49.950
022,3,20,Butterfly,INCORRECT,3.453285,97.54906,101.0023,2026-05-19 12:45:55.352,2026-05-19 12:45:58.807,2026-05-19 12:45:50.491,2026-05-19 12:45:58.823
022,4,-20,Pacman,INCORRECT,3.192406,104.7211,107.9135,2026-05-19 12:46:02.525,2026-05-19 12:46:05.718,2026-05-19 12:45:59.347,2026-05-19 12:46:05.733
022,5,0,Butterfly,INCORRECT,3.815277,109.7233,113.5386,2026-05-19 12:46:07.527,2026-05-19 12:46:11.343,2026-05-19 12:46:06.248,2026-05-19 12:46:11.376
