participantId,trialId,targetSymbol,response,accuracy,correct,questLogIntensity,stimOffsetPix,rtSeconds,matlabSendTime,matlabReceiveTime
2,1,flower,flower,CORRECT,1,-0.868476141895316,1.08296356384887,3.524595,2026-06-02 15:46:57.926,2026-06-02 15:47:02.913
2,2,house,butterfly,INCORRECT,0,-1.76188500311546,0.138421956650407,3.977806,2026-06-02 15:47:03.451,2026-06-02 15:47:09.074
2,3,duck,duck,CORRECT,1,-1.16185759035448,0.551102519657326,2.201836,2026-06-02 15:47:09.639,2026-06-02 15:47:13.421
2,4,rocket,flower,INCORRECT,0,-1.3994872779639,0.318861958319223,4.980824,2026-06-02 15:47:13.991,2026-06-02 15:47:21.741
2,5,rabbit,butterfly,INCORRECT,0,-1.22157791826385,0.48029942722634,3.402981,2026-06-02 15:47:22.247,2026-06-02 15:47:28.118
