participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
2,1,40,butterfly,CORRECT,2.924622,36.10922,39.03384,2026-06-02 14:17:04.608,2026-06-02 14:17:07.542,2026-06-02 14:17:02.079,2026-06-02 14:17:07.554
2,2,-40,butterfly,INCORRECT,2.628704,40.27192,42.90062,2026-06-02 14:17:08.771,2026-06-02 14:17:11.408,2026-06-02 14:17:07.871,2026-06-02 14:17:11.429
2,3,20,butterfly,INCORRECT,2.384026,44.07212,46.45615,2026-06-02 14:17:12.571,2026-06-02 14:17:14.964,2026-06-02 14:17:11.735,2026-06-02 14:17:14.975
2,4,-20,butterfly,INCORRECT,8.188545,47.30564,55.49419,2026-06-02 14:17:15.804,2026-06-02 14:17:24.001,2026-06-02 14:17:15.255,2026-06-02 14:17:24.013
2,5,0,TIMEOUT,,NaN,NaN,NaN,,,2026-06-02 14:17:24.304,2026-06-02 14:17:34.341
