participantId,trialId,targetSymbol,response,accuracy,correct,questLogIntensity,stimOffsetPix,rtSeconds,matlabSendTime,matlabReceiveTime
2,1,moon,butterfly,INCORRECT,0,-0.868476141895316,1.08296356384887,3.502148,2026-06-02 15:18:40.109,2026-06-02 15:18:46.706
2,2,butterfly,butterfly,CORRECT,1,0.182191913403729,12.1697568281573,4.1021,2026-06-02 15:18:47.264,2026-06-02 15:18:52.645
2,3,butterfly,butterfly,CORRECT,1,-0.274315164307444,4.2537780183964,3.870392,2026-06-02 15:18:53.155,2026-06-02 15:18:57.984
2,4,moon,butterfly,INCORRECT,0,-0.522211667049107,2.40368924316013,3.147625,2026-06-02 15:18:58.535,2026-06-02 15:19:02.820
2,5,rabbit,butterfly,INCORRECT,0,-0.334611928192807,3.70235500081464,3.279671,2026-06-02 15:19:03.366,2026-06-02 15:19:07.836
