participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
003,1,40,butterfly,CORRECT,2.900724,18.6375,21.53823,2026-05-19 14:42:41.005,2026-05-19 14:42:43.907,2026-05-19 14:42:38.953,2026-05-19 14:42:43.993
003,2,-40,butterfly,INCORRECT,2.647964,25.26124,27.9092,2026-05-19 14:42:47.628,2026-05-19 14:42:50.277,2026-05-19 14:42:44.986,2026-05-19 14:42:52.885
003,3,20,moon,INCORRECT,2.769711,34.34585,37.11556,2026-05-19 14:42:56.712,2026-05-19 14:42:59.484,2026-05-19 14:42:55.908,2026-05-19 14:42:59.522
003,4,-20,butterfly,INCORRECT,2.693092,38.50992,41.20301,2026-05-19 14:43:00.877,2026-05-19 14:43:03.571,2026-05-19 14:43:00.200,2026-05-19 14:43:03.582
003,5,0,heart,INCORRECT,3.628914,46.90565,50.53457,2026-05-19 14:43:09.273,2026-05-19 14:43:12.903,2026-05-19 14:43:08.659,2026-05-19 14:43:12.923
