participantId,trialId,value,response,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
002,1,40,Butterfly,3.619688,22.39203,26.01171,2026-05-18 17:09:28.268,2026-05-18 17:09:33.274,2026-05-18 17:09:25.310,2026-05-18 17:09:33.297
002,2,-40,Pacman,1.783751,29.89908,31.68283,2026-05-18 17:09:35.778,2026-05-18 17:09:40.782,2026-05-18 17:09:33.806,2026-05-18 17:09:40.812
002,3,20,Pacman,8.04406,36.83836,44.88242,2026-05-18 17:09:42.720,2026-05-18 17:09:50.768,2026-05-18 17:09:41.334,2026-05-18 17:09:50.776
002,4,-20,TIMEOUT,NaN,NaN,NaN,,,2026-05-18 17:09:51.289,2026-05-18 17:10:01.322
002,5,0,TIMEOUT,NaN,NaN,NaN,,,2026-05-18 17:10:01.925,2026-05-18 17:10:11.939
