participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
002,1,40,butterfly,CORRECT,3.00288,34.45444,37.45732,2026-05-26 10:29:29.650,2026-05-26 10:29:32.656,2026-05-26 10:29:25.590,2026-05-26 10:29:32.699
002,2,-40,heart,CORRECT,3.055408,46.60262,49.65803,2026-05-26 10:29:41.798,2026-05-26 10:29:44.854,2026-05-26 10:29:40.652,2026-05-26 10:29:44.889
002,3,20,house,CORRECT,3.037693,57.65905,60.69674,2026-05-26 10:29:52.853,2026-05-26 10:29:55.893,2026-05-26 10:29:51.786,2026-05-26 10:29:55.916
002,4,-20,duck,CORRECT,3.59565,67.34708,70.94273,2026-05-26 10:30:02.542,2026-05-26 10:30:06.138,2026-05-26 10:30:01.448,2026-05-26 10:30:06.176
002,5,0,car,CORRECT,3.756317,78.46087,82.21719,2026-05-26 10:30:13.656,2026-05-26 10:30:17.414,2026-05-26 10:30:12.739,2026-05-26 10:30:17.456
