participantId,trialId,value,response,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
002,1,40,LEFT,2.451643,24.29667,26.74832,2026-05-18 16:09:22.373,2026-05-18 16:09:24.824,2026-05-18 16:09:22.342,2026-05-18 16:09:24.856
002,2,-40,LEFT,1.877075,29.22874,31.10582,2026-05-18 16:09:27.304,2026-05-18 16:09:29.181,2026-05-18 16:09:25.744,2026-05-18 16:09:31.716
002,3,20,RIGHT,0.966744,34.22311,35.18985,2026-05-18 16:09:32.299,2026-05-18 16:09:33.266,2026-05-18 16:09:32.289,2026-05-18 16:09:33.283
002,4,-20,LEFT,1.73851,35.74621,37.48472,2026-05-18 16:09:33.821,2026-05-18 16:09:35.561,2026-05-18 16:09:33.811,2026-05-18 16:09:35.594
002,5,0,RIGHT,1.526459,38.05603,39.58249,2026-05-18 16:09:36.132,2026-05-18 16:09:37.658,2026-05-18 16:09:36.122,2026-05-18 16:09:37.671
