participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
2,1,40,butterfly,CORRECT,5.710854,43.9087,49.61955,2026-06-02 11:33:27.462,2026-06-02 11:33:33.181,2026-06-02 11:33:23.414,2026-06-02 11:33:33.200
2,2,-40,butterfly,INCORRECT,2.74353,51.09715,53.84068,2026-06-02 11:33:34.649,2026-06-02 11:33:37.403,2026-06-02 11:33:33.643,2026-06-02 11:33:37.408
2,3,20,butterfly,INCORRECT,2.789104,55.99636,58.78547,2026-06-02 11:33:39.548,2026-06-02 11:33:42.347,2026-06-02 11:33:37.831,2026-06-02 11:33:42.350
2,4,-20,butterfly,INCORRECT,2.64394,62.44182,65.08576,2026-06-02 11:33:45.992,2026-06-02 11:33:48.645,2026-06-02 11:33:42.762,2026-06-02 11:33:48.664
2,5,0,butterfly,INCORRECT,2.465103,67.81016,70.27526,2026-06-02 11:33:51.359,2026-06-02 11:33:53.832,2026-06-02 11:33:49.070,2026-06-02 11:33:53.850
