participantId,trialId,value,response,accuracy,rtSeconds,unityStartTime,unityResponseTime,unityStartWallClock,unityResponseWallClock,matlabSendTime,matlabReceiveTime
2,1,40,butterfly,CORRECT,2.850332,18.04614,20.89647,2026-06-02 14:08:25.432,2026-06-02 14:08:28.291,2026-06-02 14:08:21.439,2026-06-02 14:08:28.299
2,2,-40,butterfly,INCORRECT,2.788147,22.00766,24.79581,2026-06-02 14:08:29.393,2026-06-02 14:08:32.191,2026-06-02 14:08:28.692,2026-06-02 14:08:32.203
2,3,20,butterfly,INCORRECT,2.59857,26.74112,29.33969,2026-06-02 14:08:34.126,2026-06-02 14:08:36.735,2026-06-02 14:08:32.591,2026-06-02 14:08:36.753
2,4,-20,butterfly,INCORRECT,2.398811,31.01846,33.41727,2026-06-02 14:08:38.404,2026-06-02 14:08:40.813,2026-06-02 14:08:37.133,2026-06-02 14:08:40.838
2,5,0,butterfly,INCORRECT,2.322151,34.77352,37.09567,2026-06-02 14:08:42.157,2026-06-02 14:08:44.489,2026-06-02 14:08:41.200,2026-06-02 14:08:44.507
